timestamp,service_name,source,cpu_usage,memory_usage,disk_usage,network_in,network_out,request_rate,throughput,latency_avg,latency_p50,latency_p95,latency_p99,error_rate,http_4xx,http_5xx,availability,restart_count,timeout_count,retry_count,dependency_request_count,dependency_latency,dependency_error_rate,cloudwatch_metrics,anomaly_label,anomaly_type,scenario_id,scenario_start,scenario_end,scenario_type,baseline_mean,baseline_stddev,baseline_p95,baseline_upper_bound,baseline_lower_bound,deviation_from_baseline,deviation_percentage
2026-09-01T00:00:00+00:00,svc-a,prometheus,30.0,,,,,10.0,,0.05,,0.09,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:01:00+00:00,svc-a,prometheus,31.0,,,,,11.0,,0.060000000000000005,,0.09999999999999999,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:02:00+00:00,svc-a,prometheus,32.0,,,,,12.0,,0.07,,0.11,,0.0,,,1.0,,,,,,,,1,latency_anomaly,LAT_FIX_001,,,latency_anomaly,,,,,,,
2026-09-01T00:03:00+00:00,svc-a,prometheus,33.0,,,,,13.0,,0.08,,0.12,,0.0,,,1.0,,,,,,,,1,latency_anomaly,LAT_FIX_001,,,latency_anomaly,,,,,,,
2026-09-01T00:04:00+00:00,svc-a,prometheus,34.0,,,,,14.0,,0.09,,0.13,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:05:00+00:00,svc-a,prometheus,35.0,,,,,15.0,,0.1,,0.14,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:00:00+00:00,svc-b,prometheus,30.0,,,,,10.0,,0.05,,0.09,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:01:00+00:00,svc-b,prometheus,31.0,,,,,11.0,,0.060000000000000005,,0.09999999999999999,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:02:00+00:00,svc-b,prometheus,32.0,,,,,12.0,,0.07,,0.11,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:03:00+00:00,svc-b,prometheus,33.0,,,,,13.0,,0.08,,0.12,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:04:00+00:00,svc-b,prometheus,34.0,,,,,14.0,,0.09,,0.13,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
2026-09-01T00:05:00+00:00,svc-b,prometheus,35.0,,,,,15.0,,0.1,,0.14,,0.0,,,1.0,,,,,,,,0,normal,,,,,,,,,,,
